id,duration,A1,A2,A3_1,A3_2,A3_3,A3_4,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A5,A6,A7,A8,A9,A10,A11,A12_1,A12_2,A12_3,A12_4,A12_5,A13_1,A13_2,A13_3,A13_4,A13_5,B1,B1a,B2,B3,B4,B5,B6_1,B6_2,B6_3,B6_4,B6_5,B6_6,B6_7,B6_8,B7_1,B7_2,B8,B10_1,B10_2,B10_3,B10_4,B11_1,B11_2,B11_3,B11_4,B11_5,B11_6,B12,B13_1,B13_2,B13_3,B13_4,B13_5,B13_6,B14_1,B14_2,B14_3,B14_4,B15,B16,B17_1,B17_2,C1,C2_a,C2_d,C3,C4,C5,C6,C7,C8,C9,C10,ex1t,ex2t,ex3t
52400,452,9,5,0,1,0,0,0,0,0,0,0,0,1,3,3,3,3,4,3,1,4,4,3,3,3,3,3,3,3,4,0,0,4,0,0,5,1,1,1,1,1,1,1,1,5,7,4,2,3,4,1,1,0,0,0,0,0,3,0,0,1,0,1,0,4,4,4,4,7,6,4,4,0,New Territories,Sha Tin,1,2,3,1,7,5,1,0,0,0,1
52401,342,9,5,0,0,0,1,0,0,0,0,0,0,1,1,1,2,4,4,2,1,4,2,1,2,4,1,1,1,1,1,1,2,3,0,0,1,1,1,0,0,0,0,0,0,2,1,2,3,3,2,4,0,1,0,0,0,0,3,0,0,0,1,0,1,2,1,1,2,7,7,2,2,0,New Territories,Tai Po,1,1,3,6,3,1,3,0,1,0,0
52402,571,8,5,0,0,0,1,0,0,0,0,0,0,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,3,5,0,0,1,0,0,0,1,0,0,2,3,0,3,1,1,1,4,8,10,1,1,0,New Territories,Tuen Mun,1,1,3,2,2,5,4,1,0,1,0
52403,698,9,5,1,0,0,0,0,0,0,0,0,0,1,3,3,3,2,4,3,1,4,1,1,3,1,3,3,3,3,3,0,0,4,0,0,3,0,1,0,0,0,0,0,0,6,6,4,3,3,3,3,1,0,1,1,0,0,5,2,2,2,2,2,2,3,3,3,3,8,7,3,3,1,Kowloon,Sham Shui Po,1,2,3,2,3,2,2,0,0,1,0
52404,338,8,3,0,1,1,0,0,0,0,1,0,0,0,3,3,3,2,4,4,3,3,3,2,4,4,3,4,4,4,4,1,2,2,0,0,6,0,0,0,0,1,0,1,1,7,9,1,2,3,4,2,0,1,0,0,0,0,3,2,0,3,1,2,2,4,4,2,4,7,5,3,4,0,New Territories,Sai Kung,1,1,3,2,5,5,1,0,1,0,0
52405,367,8,1,0,1,0,0,1,0,1,0,0,0,0,2,2,2,2,4,4,1,3,2,2,2,3,2,2,2,2,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,4,4,2,2,2,3,4,0,1,1,0,0,0,4,2,0,1,2,2,2,2,2,2,2,8,5,2,2,0,Hong Kong Island,Wan Chai,1,1,5,2,7,5,2,0,0,0,1
52406,260,8,3,1,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,4,1,4,1,1,2,4,1,1,1,1,1,1,2,3,0,0,2,1,1,0,0,0,0,1,0,1,1,2,1,2,2,5,0,0,1,0,0,0,3,0,0,0,0,0,2,1,1,1,1,1,0,1,1,0,New Territories,Sha Tin,1,2,5,1,7,5,1,0,1,1,0
52407,840,8,4,0,0,0,1,0,0,0,0,0,0,1,3,3,3,2,4,3,1,4,3,2,3,4,2,3,2,2,4,1,2,3,0,0,2,1,1,0,0,0,0,1,0,5,5,2,2,2,4,4,0,0,1,0,0,0,2,3,3,2,3,1,2,3,2,1,3,8,8,2,2,1,New Territories,Tuen Mun,1,2,5,5,5,5,2,0,1,0,0
52408,971,8,5,0,1,0,0,0,1,0,1,0,0,0,2,1,3,3,4,2,4,4,4,3,3,2,4,4,4,3,4,1,2,4,0,0,1,1,0,0,1,0,0,1,0,6,6,2,5,3,4,1,1,0,0,0,1,0,1,0,0,3,1,0,0,4,4,4,4,8,8,4,4,0,Hong Kong Island,Eastern,1,1,6,1,8,5,3,0,0,1,1
52409,331,8,3,1,1,0,0,0,1,0,1,0,0,0,3,3,4,1,4,4,1,5,2,1,3,4,1,2,3,3,4,0,0,3,1,1,4,0,0,1,0,0,1,1,0,6,7,3,4,4,4,4,1,0,0,0,1,0,3,1,3,2,1,1,1,3,3,1,3,5,4,2,3,0,New Territories,Sai Kung,1,2,5,1,7,2,3,0,1,1,1
52410,396,9,1,1,1,0,0,0,0,0,1,0,0,0,2,2,2,1,3,3,3,4,4,4,3,4,4,3,4,4,5,1,2,3,0,0,2,1,0,0,0,0,0,0,0,9,9,3,4,2,3,3,1,0,1,0,1,0,3,2,3,0,3,1,0,1,1,3,2,7,7,3,1,0,Kowloon,Kowloon City,1,1,5,5,5,5,2,0,1,0,1
52411,266,7,1,0,0,0,1,0,0,0,0,0,0,1,3,2,3,3,2,3,1,4,2,3,3,3,2,2,2,2,4,1,3,3,0,0,4,0,1,0,0,0,0,0,0,6,5,3,3,3,3,4,1,0,0,0,0,0,2,2,2,2,1,1,2,3,2,2,4,8,7,2,3,1,New Territories,Tai Po,1,1,5,2,3,3,1,0,0,1,0
52412,349,8,3,0,0,0,1,0,0,0,0,0,0,1,2,2,2,4,4,4,1,3,1,1,3,3,1,1,1,1,3,1,1,3,0,0,6,1,1,0,0,0,0,1,0,6,5,2,5,4,3,5,1,0,0,0,1,0,3,0,0,0,2,0,0,3,1,1,2,3,7,1,2,0,New Territories,Tsuen Wan,1,2,3,2,5,5,3,0,1,0,0
52413,619,9,4,0,0,0,1,0,0,0,0,0,0,1,3,1,1,3,4,3,1,3,4,3,3,3,3,3,3,3,3,1,2,4,0,0,5,1,0,0,0,0,0,1,1,8,7,2,4,2,4,3,1,0,0,0,1,0,3,2,0,1,1,1,1,3,2,2,4,4,4,3,2,0,Kowloon,Kwun Tong,1,1,4,2,1,5,2,1,0,1,1
52414,395,3,6,0,1,0,0,0,0,0,0,0,0,1,3,3,3,2,2,3,6,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,6,0,0,0,0,0,0,1,0,1,1,3,1,1,1,1,0,1,0,0,0,0,1,2,1,3,3,3,3,1,1,1,1,0,0,1,1,1,Kowloon,Wong Tai Sin,1,2,3,3,4,6,2,0,0,0,0
52415,1462,9,4,1,0,0,0,0,0,1,0,0,0,0,3,3,4,1,4,3,4,4,3,2,4,3,5,3,2,1,4,0,0,2,1,0,3,0,0,1,0,1,1,1,1,8,5,4,1,2,3,4,0,0,1,0,1,0,4,3,1,3,2,2,3,5,3,3,5,8,9,4,4,0,New Territories,Tuen Mun,1,2,4,2,4,4,3,0,0,1,1
52416,1243,8,3,0,0,1,0,1,0,0,0,0,0,0,3,4,2,2,3,2,2,5,4,4,4,4,5,4,5,5,4,0,0,3,1,1,3,0,0,0,0,1,1,1,0,9,8,4,4,4,5,3,1,0,1,0,0,0,5,2,3,2,1,1,1,5,5,4,5,8,9,4,4,1,Hong Kong Island,Wan Chai,1,2,2,2,2,5,3,0,1,1,1
52417,453,5,3,0,1,0,0,0,0,0,1,0,0,0,2,2,2,2,4,3,1,4,1,4,4,4,3,4,3,4,4,1,2,3,0,0,3,0,0,0,0,0,0,0,1,1,1,2,3,3,4,3,0,0,1,0,0,0,2,2,0,0,1,2,2,2,2,1,2,8,8,1,2,1,New Territories,Kwai Tsing,1,1,4,5,4,5,3,0,1,0,1
52418,959,9,5,0,1,1,0,0,0,0,0,0,0,1,4,4,4,1,4,1,3,2,3,4,5,1,5,4,3,2,3,1,2,4,1,1,6,1,0,0,0,0,1,0,1,9,2,4,3,2,4,5,0,0,1,0,1,0,5,3,2,1,0,0,1,4,3,4,5,8,9,5,5,1,Hong Kong Island,Eastern,1,2,3,3,2,1,4,0,0,1,1
52419,238,5,1,1,0,0,0,1,0,0,0,1,0,0,3,3,4,2,3,3,1,4,3,3,3,3,3,3,3,3,3,1,3,3,0,1,6,0,0,1,0,0,0,0,1,10,10,5,4,5,4,3,0,1,1,0,0,0,2,2,3,3,1,2,2,4,3,4,3,7,6,3,3,0,New Territories,Kwai Tsing,1,1,3,3,2,3,4,0,0,1,0
52420,665,8,4,0,0,0,1,0,0,0,0,0,0,1,3,3,3,3,4,4,1,5,4,3,4,4,4,5,5,4,5,1,2,0,1,0,6,1,1,0,0,0,1,1,1,10,10,2,3,4,5,2,1,0,0,0,1,0,3,1,0,0,2,1,0,4,4,4,5,10,9,4,4,0,Kowloon,Wong Tai Sin,1,2,5,1,8,5,4,1,0,0,0
52421,1013,5,2,1,1,0,0,0,1,0,1,0,0,0,3,3,3,2,4,4,1,3,3,3,2,2,4,3,3,3,3,1,2,3,0,0,1,0,0,0,0,0,0,1,1,5,6,3,4,3,3,2,0,1,1,0,0,0,2,0,0,2,2,2,2,4,2,4,3,5,6,4,1,0,New Territories,Tuen Mun,1,2,3,2,6,5,2,1,1,1,1
52422,415,9,3,1,0,0,0,0,0,0,1,0,0,0,4,2,3,2,4,4,1,5,3,2,3,5,4,4,3,4,5,0,0,3,0,0,5,1,1,0,1,1,0,1,0,8,7,4,4,3,4,4,1,0,0,1,1,0,3,2,1,2,2,1,2,4,4,3,4,7,6,2,4,1,Hong Kong Island,Southern,1,2,3,2,5,2,3,0,0,0,1
52423,486,9,5,0,0,0,1,0,0,1,1,0,0,0,2,2,3,3,4,3,4,4,4,3,2,1,4,4,4,3,3,1,2,3,0,0,5,1,1,1,1,0,0,1,1,6,7,2,5,4,4,1,1,0,1,0,1,0,3,1,1,0,2,1,0,4,4,5,4,9,9,4,4,0,Hong Kong Island,Eastern,1,2,3,6,7,4,3,0,1,1,0
52424,621,5,4,0,0,0,1,0,0,0,0,0,0,1,4,3,2,3,2,2,4,3,1,4,2,2,2,2,2,3,2,1,2,3,0,0,6,0,0,0,0,1,0,0,0,10,4,2,1,3,1,3,0,0,1,0,0,1,4,2,0,3,3,3,0,2,3,2,4,6,6,2,4,1,Hong Kong Island,Eastern,1,2,4,5,4,2,2,1,0,0,0
52425,624,9,4,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,4,4,1,3,3,3,3,3,3,3,3,3,4,0,0,3,0,0,3,0,0,0,0,0,1,1,1,5,5,3,4,3,3,3,0,0,0,1,0,0,3,1,0,2,2,2,2,4,4,3,4,7,6,3,3,0,New Territories,Yuen Long,1,2,3,2,2,5,4,0,1,1,1
52426,317,5,5,0,0,0,1,0,0,0,0,0,0,1,4,4,4,2,4,4,1,4,2,2,3,3,2,2,2,2,3,1,2,3,0,0,1,1,0,0,0,0,0,1,1,7,7,4,3,2,3,3,0,1,0,0,0,0,1,1,2,3,3,3,3,4,3,3,3,5,5,3,3,1,New Territories,Yuen Long,1,2,5,1,6,5,3,0,0,1,1
52427,260,9,2,0,0,0,1,0,0,1,0,0,0,0,3,3,3,3,4,4,1,4,2,1,3,3,1,1,1,1,3,1,2,3,0,0,4,0,1,0,0,0,0,1,1,7,8,5,4,4,4,3,1,0,0,1,0,0,4,1,0,1,2,0,1,4,4,4,4,7,6,2,2,0,New Territories,Tsuen Wan,1,1,5,2,5,5,4,0,0,0,0
52428,405,5,4,0,0,0,1,0,0,0,0,0,0,1,3,2,3,3,4,3,1,3,3,3,2,2,3,2,2,3,3,1,2,3,0,0,3,0,0,1,0,0,1,0,0,9,7,2,4,4,5,1,1,0,0,0,1,0,3,0,0,0,2,0,0,5,1,3,3,5,5,3,1,0,Kowloon,Kwun Tong,1,1,6,1,6,5,3,0,1,0,0
52429,581,8,5,0,0,0,1,0,0,0,1,0,0,0,3,3,3,2,4,4,1,4,1,1,3,3,2,1,1,2,3,1,2,4,0,0,4,1,1,1,1,1,1,1,0,9,7,4,3,3,5,5,1,1,1,0,1,0,2,0,1,0,3,1,2,2,1,1,3,7,2,1,2,1,Hong Kong Island,Wan Chai,1,2,6,1,8,2,3,0,1,1,1
52430,449,8,1,0,1,0,0,0,0,0,1,0,0,0,2,3,2,2,4,3,3,5,4,3,3,3,3,3,3,3,4,1,3,3,0,0,3,1,1,0,0,0,1,0,0,7,7,2,3,2,4,3,0,1,0,0,0,0,1,1,1,1,3,1,1,3,3,3,3,8,5,3,3,1,Kowloon,Yau Tsim Mong,1,1,4,3,4,5,2,0,1,0,1
52431,722,5,2,0,1,0,0,0,0,0,0,0,0,1,4,4,3,1,4,4,1,2,2,1,4,3,1,2,3,3,3,1,2,3,0,0,5,1,1,0,0,0,0,0,0,5,7,4,1,1,4,5,0,1,1,1,0,0,2,1,2,3,1,3,3,1,3,1,1,6,2,1,4,1,Kowloon,Kowloon City,1,1,5,3,4,1,3,0,1,1,0
52432,693,9,5,0,0,0,1,0,0,0,1,0,0,0,3,2,2,2,4,4,1,4,3,3,3,4,2,3,2,2,4,1,2,2,0,0,3,1,1,0,0,0,0,1,0,5,5,2,3,2,4,4,1,0,0,0,1,0,3,1,0,0,2,1,1,3,2,2,4,7,5,3,2,1,New Territories,Sai Kung,1,2,3,3,4,2,4,0,0,0,1
52433,3012,8,4,0,0,0,1,0,0,0,1,0,0,0,3,3,3,2,4,1,3,4,4,3,4,1,5,5,4,4,5,0,0,3,0,0,5,1,1,0,1,0,0,1,0,8,10,3,5,4,4,2,1,0,0,0,1,0,2,1,1,0,1,0,1,5,3,3,4,6,8,4,4,0,Hong Kong Island,Wan Chai,1,1,3,2,4,5,3,0,1,1,0
52434,1254,8,5,0,1,0,0,0,0,0,1,0,0,0,2,2,2,2,3,2,4,3,3,3,3,3,3,3,3,3,3,1,2,4,0,0,3,1,1,1,1,1,1,1,1,5,5,2,3,3,3,3,1,0,0,0,1,0,3,2,0,0,2,0,0,3,3,3,3,5,5,3,3,1,Hong Kong Island,Eastern,1,2,5,5,8,5,3,0,0,0,1
52435,973,8,5,0,0,0,1,0,0,0,0,0,0,1,2,1,2,2,4,1,4,5,4,2,3,2,3,4,4,3,5,1,2,3,0,0,4,1,0,1,0,0,0,1,0,6,9,3,5,4,5,5,1,0,0,0,1,0,2,1,0,3,1,2,0,5,3,3,5,7,4,3,4,0,New Territories,Sha Tin,1,2,5,1,6,4,4,0,1,1,0
52436,417,7,1,0,0,0,1,0,0,0,1,0,0,0,3,2,3,2,3,3,6,4,3,2,3,3,2,3,3,3,3,1,2,2,0,0,3,1,0,0,0,0,0,1,0,5,7,2,3,3,4,3,0,1,0,0,1,0,3,2,0,0,1,0,0,3,3,2,4,6,5,2,3,1,New Territories,Kwai Tsing,1,1,4,8,2,5,3,0,1,0,1
52437,543,8,1,1,1,1,0,0,0,0,0,0,0,1,3,4,4,3,4,4,1,4,3,3,3,3,3,3,3,3,4,1,2,3,0,0,4,0,1,0,0,0,1,1,0,7,8,3,2,3,4,3,1,1,1,0,0,0,3,2,0,0,1,1,2,3,2,2,2,1,1,2,2,0,New Territories,Tuen Mun,1,1,4,2,5,5,2,1,1,1,0
52438,740,9,3,0,1,0,0,0,0,0,1,0,0,0,3,3,2,2,4,4,3,4,3,3,3,3,3,3,3,3,3,0,0,3,1,0,6,0,1,0,0,0,1,1,0,7,8,4,2,4,4,3,1,0,0,0,1,0,3,3,2,0,2,1,2,4,3,3,3,6,6,3,3,0,New Territories,Sha Tin,1,2,4,1,6,5,3,1,0,0,1
52439,344,9,4,0,0,0,1,0,0,0,1,0,0,0,2,3,2,3,4,4,2,4,4,3,3,3,3,4,4,4,4,1,3,3,0,0,4,1,0,0,0,0,0,1,0,9,10,2,4,4,4,2,1,0,0,1,1,0,3,0,0,0,0,0,0,4,4,4,4,8,8,4,4,0,New Territories,Kwai Tsing,1,2,3,2,4,4,3,0,1,1,0
52440,311,7,4,1,0,0,0,0,0,0,0,0,0,1,2,1,2,2,4,1,1,4,2,1,2,4,1,2,2,2,4,1,2,4,0,1,2,1,1,1,1,0,1,1,0,8,8,2,5,4,4,5,1,0,0,1,1,0,4,0,0,1,3,1,2,5,2,2,2,3,5,4,2,1,New Territories,Tsuen Wan,1,2,6,1,6,2,3,0,0,0,1
52441,4108,5,1,1,0,1,0,0,1,0,0,0,1,0,4,4,2,1,1,4,1,5,4,4,2,1,3,3,1,3,5,1,2,4,0,0,1,1,0,0,1,0,0,1,0,1,3,5,3,2,5,2,0,0,1,0,0,0,2,2,3,2,2,1,3,2,4,2,2,6,2,2,2,1,Kowloon,Kwun Tong,1,2,2,1,6,2,4,0,0,0,1
52442,313,5,4,0,0,0,1,0,0,0,0,0,0,1,3,3,3,2,4,3,4,4,4,4,2,3,4,5,4,3,4,0,0,3,0,0,1,1,0,0,0,0,0,1,0,7,6,3,5,3,4,1,0,1,1,0,1,0,4,2,0,2,2,2,2,4,4,4,4,7,7,4,4,0,New Territories,Sha Tin,1,2,6,1,7,4,3,0,0,1,0
52443,758,11,4,0,0,0,1,0,1,0,0,0,0,0,3,2,3,3,4,4,1,5,1,1,3,4,1,2,2,3,3,1,2,1,0,0,2,0,1,1,0,0,1,1,1,9,9,3,3,3,4,4,0,1,1,0,0,0,2,3,3,3,2,2,3,3,3,1,3,2,0,2,2,0,New Territories,Tai Po,1,2,3,2,6,2,3,1,1,1,0
52444,224,5,4,0,0,0,1,0,0,1,1,0,0,0,2,1,2,3,4,3,1,4,4,2,4,4,3,3,3,4,4,1,2,3,0,0,3,1,0,0,0,0,0,1,1,7,7,2,2,3,2,2,1,0,0,0,0,0,3,2,2,1,2,1,2,2,3,3,4,7,5,3,3,1,Hong Kong Island,Eastern,1,2,5,4,5,3,3,0,1,1,1
52445,470,5,1,0,1,1,0,0,0,0,1,0,0,0,3,3,4,2,4,4,2,4,3,3,3,3,4,3,3,4,4,1,2,3,0,0,5,1,1,0,0,0,1,1,0,7,7,3,2,2,4,3,0,1,1,0,0,0,5,2,2,0,3,3,3,2,3,3,3,7,5,3,3,0,Kowloon,Kwun Tong,1,1,5,8,3,5,4,0,0,0,0
52446,502,8,4,0,0,0,1,0,0,0,0,0,0,1,2,3,2,2,4,3,3,5,4,3,3,3,4,4,3,2,4,1,2,3,0,0,1,1,0,0,0,0,0,1,0,7,7,3,5,4,4,2,1,0,0,0,1,0,3,1,1,1,0,1,0,4,3,4,4,7,7,4,4,1,Kowloon,Kowloon City,1,2,5,1,5,4,2,0,1,0,0
52447,603,9,2,0,0,0,1,0,0,0,1,0,0,0,3,3,4,2,4,4,1,4,2,2,3,3,2,3,2,2,3,1,2,3,0,0,6,0,0,0,0,0,0,1,0,10,10,5,4,4,3,4,1,0,0,0,1,0,3,1,0,2,1,2,1,3,3,2,3,6,8,1,2,0,Kowloon,Kwun Tong,1,1,4,5,3,1,4,0,1,1,1
52448,510,9,3,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,3,5,5,5,3,1,5,5,5,5,5,0,0,4,1,0,6,1,1,1,1,1,1,1,1,10,10,5,5,5,5,1,1,1,1,1,1,0,5,0,0,0,0,0,0,5,5,5,5,10,10,5,5,1,Kowloon,Wong Tai Sin,1,2,7,1,7,4,4,1,0,0,0
52449,480,8,2,0,0,0,1,0,0,0,0,0,0,1,3,2,3,3,3,3,1,4,3,3,3,3,4,4,4,4,3,1,2,2,0,1,1,1,0,0,0,1,0,1,0,5,5,3,4,2,4,3,1,0,0,0,0,0,2,2,3,2,3,1,2,3,2,4,3,6,7,4,4,1,Kowloon,Kowloon City,0,2,5,2,5,3,1,0,1,1,1
52450,509,5,6,0,1,0,0,0,0,0,1,0,0,0,4,3,3,2,4,2,1,3,1,2,3,3,1,1,1,2,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,7,8,3,2,3,4,5,0,0,1,0,0,0,1,2,0,3,2,3,3,1,1,1,2,7,7,1,2,1,Hong Kong Island,Wan Chai,1,1,5,6,1,3,2,0,1,1,0
52451,489,9,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,1,2,1,1,2,2,1,1,1,1,1,1,2,3,1,1,2,0,0,0,0,0,0,1,1,6,6,2,5,2,4,5,0,1,0,0,0,0,3,1,0,0,1,0,2,2,1,1,3,9,9,1,1,0,Kowloon,Kwun Tong,1,2,5,2,5,5,3,1,0,0,1
52452,237,5,3,0,0,1,0,0,0,0,1,1,0,0,3,3,2,3,4,3,1,3,3,2,3,3,3,3,4,3,3,1,2,3,0,1,1,1,1,0,0,0,0,0,0,6,7,3,4,3,3,3,0,0,0,1,1,0,2,2,2,1,1,2,2,3,3,2,3,6,7,3,3,1,New Territories,Kwai Tsing,1,1,5,2,3,5,3,0,1,1,0
52453,596,8,5,0,1,0,0,0,0,1,1,0,0,0,3,2,2,2,4,4,4,4,4,3,3,3,4,4,4,4,4,1,2,3,0,0,6,1,0,1,0,0,1,1,1,8,10,3,5,3,4,2,1,0,0,0,1,0,3,2,0,3,0,0,1,5,3,4,4,4,3,5,4,0,New Territories,Tsuen Wan,1,1,4,1,5,5,2,0,0,0,1
52454,330,5,4,1,0,0,0,0,1,0,0,0,0,0,3,3,4,2,4,4,4,4,3,3,3,3,4,3,3,3,4,0,0,3,0,0,6,1,0,1,0,0,0,1,0,6,8,3,4,3,4,3,1,0,0,0,1,0,4,2,2,1,3,2,3,3,3,3,4,5,5,3,3,0,Kowloon,Sham Shui Po,1,2,5,2,6,5,1,0,0,1,0
