id,duration,ip,ex1t,ex2t,A1,A2,A3,A4_1,A4_2,A4_3,A4_4,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A6,A7,A8,A9,A10,A11,A12_1,A12_2,A12_3,A12_4,B1,B1a,B2,B3,B4,B5,B6,B7_1,B7_2,B7_3,B7_4,B7_5,B7_6,B8_1,B8_2,B8_3,B9,B11_1,B11_2,B11_3,B11_4,B12_1,B12_2,B12_3,B12_4,B12_5,B12_6,B13,B14_1,B14_2,B14_3,B14_4,B14_5,B14_6,B15_1,B15_2,B15_3,B15_4,B16,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
27676,963,Shanghai,1,1,9,4,2,0,1,0,0,0,0,0,0,0,0,1,3,3,2,2,3,4,4,5,3,4,0,0,3,0,0,4,3,1,1,1,1,1,1,5,5,5,4,3,4,5,2,1,1,1,0,0,0,2,2,3,2,1,2,2,4,3,2,3,9,0,2,Shanghai,1,2,5,4,5,1,4
27677,554,Sichuan,0,1,9,4,1,0,0,0,1,0,0,0,0,0,1,0,3,3,4,2,2,4,4,5,2,4,0,0,3,0,0,4,3,0,1,1,0,0,1,7,8,3,4,4,5,5,4,1,1,0,0,1,0,4,1,0,0,3,2,1,5,5,5,4,9,0,1,Sichuan,0,1,5,2,7,2,4
27678,882,Jiangsu,0,0,5,4,4,1,0,0,0,0,0,0,0,0,0,1,2,3,3,2,3,4,4,5,4,4,0,0,3,0,0,4,3,1,0,0,1,1,1,1,3,8,4,2,4,5,4,1,0,0,0,1,0,4,1,0,2,2,1,1,4,5,4,5,8,1,2,Jiangsu,1,2,5,4,5,1,1
27679,434,Henan,0,1,6,1,3,0,0,0,1,0,0,0,1,0,0,0,2,2,3,3,4,4,4,4,3,3,0,0,3,1,0,4,3,1,1,0,0,0,1,5,6,6,4,3,3,4,2,1,0,1,0,1,0,3,0,0,1,2,0,1,5,4,4,5,8,0,1,Henan,0,1,6,11,5,4,4
27680,876,Guangdong,1,1,8,4,3,0,0,0,1,0,0,0,0,0,0,1,3,4,3,1,2,3,5,4,3,4,0,0,3,0,0,4,4,1,1,1,0,1,1,3,5,8,4,4,4,5,4,1,1,1,0,1,0,4,1,1,0,3,2,2,5,5,3,4,8,0,1,Guangdong,0,1,5,4,7,1,3
27681,977,Guangxi,0,1,5,4,4,1,1,0,0,0,0,0,0,0,0,1,3,4,3,2,3,4,3,4,3,4,0,0,3,0,0,4,5,1,1,1,1,1,1,5,7,9,4,3,4,5,4,1,1,1,1,1,0,2,1,0,2,1,1,2,3,4,4,3,8,1,2,Guangxi,1,2,4,4,6,1,2
27682,517,Jiangxi,1,1,8,4,2,1,0,0,0,0,0,0,0,0,0,1,2,3,2,3,4,4,4,5,3,4,0,0,3,1,0,2,5,1,1,1,1,1,1,5,7,8,4,4,3,5,4,1,1,1,1,1,0,2,0,0,0,0,0,1,5,4,5,3,8,0,2,Jiangxi,1,2,5,2,5,1,3
27683,524,Anhui,0,0,5,4,3,1,1,0,0,0,0,0,1,1,0,0,3,3,4,1,4,4,4,5,3,4,0,0,3,0,0,4,2,1,1,1,1,1,1,8,9,4,4,4,4,5,4,1,0,0,1,1,0,2,1,2,1,3,2,2,5,5,4,4,9,0,2,Anhui,1,2,5,1,6,1,3
27684,368,Henan,1,1,8,2,4,0,0,0,1,0,0,0,0,0,0,1,3,2,2,2,3,4,4,3,3,4,0,0,3,1,0,1,4,1,0,1,1,0,1,2,3,7,4,5,5,5,5,1,0,0,0,1,0,4,1,0,0,1,0,0,5,5,5,4,7,1,1,Henan,0,1,5,11,2,4,2
27685,540,Hainan,1,1,9,4,4,1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,4,5,5,4,4,0,0,3,1,1,4,3,1,1,1,1,1,1,2,5,9,5,4,5,4,5,1,0,0,0,1,0,5,1,1,2,1,0,1,5,4,5,4,10,0,2,Beijing,1,2,5,2,5,2,1
